北京东方国信科技股份有限公司|管连平|010-84866666|investor@bonc.com.cn|www.bonc.com.cn|北京市朝阳区创达三路1号院1号楼7层101|105668.009万|1997-07-28|在业|110105002496292|91110000633027609B|633027609|91110000633027609B|股份有限公司(上市、自然人投资或控股)|2008-06-30至无固定期限|软件和信息技术服务业||2018-11-20|104996.948万|1000-4999人|1977|朝阳分局||Business-intelligence of Oriental Nations Corporation Ltd.|北京市朝阳区创达三路1号院1号楼7层101附近公司|计算机软硬件、机电一体化产品、计算机系统集成的技术开发、技术咨询、技术服务、技术培训、技术转让；销售自行开发后产品、计算机、软件及辅助设备、电子产品、通讯设备、仪器仪表；租赁计算机软硬件；企业策划；信息咨询（中介除外）；市场调查；设计、制作、代理、发布广告；货物进出口、技术进出口、代理进出口；出租办公用房；物业管理；计算机系统服务；合同能源管理；互联网信息服务（不含新闻、出版、教育、医疗保健、药品和医疗器械、电子公告服务）。（企业依法自主选择经营项目，开展经营活动；互联网信息服务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）|北京东方国信科技股份有限公司（以下简称&quot;东方国信公司&quot;）成立于1997年，是信息产业部认定的软件企业和北京市中关村高新技术企业，并通过了ISO9001:2000质量管理体系认证。东方国信公司长期致力于中国国内电信领域的BI（商业智能）、CRM（客户关系管理）、CTI等软件开发、服务与解决方案，拥有多项软件产品专利，是中国联通和中国电信的业务支撑系统的核心合作厂商之一，也是中国铁通业务支撑的三家核心厂商之一。同时，公司在软件外包和业务流程外包方面取得飞速发展，分别在大连和重庆建立软件服务外包基地。2011年01月25日，北京东方国信科技股份有限公司（股票代码：300166，公司简称：东方国信）1月14日发行的1017.6万股A股股票，今日在深圳证券交易所挂牌。
内蒙古蒙东医药现代物流有限公司|李长胜|0476-8821765|nmgmdyy@163.com||内蒙古自治区赤峰市喀喇沁旗和美工贸园区应昌街北段|15000万|2014-06-05|存续|150428000018707|911504280999275698|099927569|911504280999275698|其他有限责任公司(1190)|2014-06-05至无固定期限|商务服务业||2018-07-27|15000万|50-99人|58|喀喇沁旗市场监督管理局|||内蒙古自治区赤峰市喀喇沁旗和美工贸园区应昌街北段附近公司|货运代理服务（未取得许可不得经营）；仓储服务；库房租赁；会议服务；广告策划、设计、制作、发布；中药材种植；中药材深加工技术研究（在许可证有效期内经营）；物业管理；物流配送服务；普通货物道路运输；车辆租赁。|内蒙古蒙东医药现代物流有限公司是2015年经自治区食品药品监督管理局批准成立的第三方医药物流企业，位于内蒙古赤峰市，根据国家对医药产业的政策导向，由市内四家民营医药流通企业：赤峰荣济堂大药房连锁有限公司、赤峰人川医药有限公司、赤峰民生医药有限责任公司、赤峰正本医药有限公司共同出资组建。货运代理服务；药品及医疗器械仓储服务；药品及医疗器械配送服务。
内蒙古德睿建设工程有限公司|高鑫|13150956830|slj4332995@163.com||内蒙古自治区赤峰市喀喇沁旗牛家营子镇西山村18组208号|16000万|2018-08-13|存续||91150428MA0PYX8G72|MA0PYX8G7|91150428MA0PYX8G72|有限责任公司(自然人投资或控股)(1130)|2018-08-13至无固定期限|房屋建筑业||2018-08-13||||喀喇沁旗市场监督管理局|||内蒙古自治区赤峰市喀喇沁旗牛家营子镇西山村18组208号附近公司|土石方工程、钢结构工程、市政工程、公路工程、护坡工程、桥梁工程、房屋建筑工程、装饰工程、园林绿化工程、管道安装；普通货物运输。|
赤峰亚鼎铜业有限公司|李德志|0476-5652888|yadingtongye@163.com||喀喇沁旗锦山工业园区|12000万|2009-05-19|存续|150428000009175|911504286865452589|686545258|911504286865452589|其他有限责任公司(1190)|2009-05-19至2024-05-18|有色金属冶炼和压延加工业||2018-09-19|12000万|||喀喇沁旗市场监督管理局|||喀喇沁旗锦山工业园区附近公司|有色金属延压加工、销售；有色金属合金制造、销售；电线、电缆生产与销售|赤峰亚鼎铜业有限公司是专门生产电气化铁道用接触网导线和电线电缆用电工铜杆、电工圆铜线和电工铜排的专业生产厂家。
内蒙古姚氏投资管理集团有限责任公司|姚洪林|15104806325|977059187@qq.com|www.nmysjt.com|内蒙古自治区赤峰市喀喇沁旗和美工贸园区A3-0101-2号|5000万|2014-08-26|存续|150428000019540|91150428318401023Q|318401023|91150428318401023Q|有限责任公司(自然人投资或控股)(1130)|2014-08-26至无固定期限|商务服务业||2017-04-13||||喀喇沁旗市场监督管理局|内蒙古姚氏投资管理有限责任公司||内蒙古自治区赤峰市喀喇沁旗和美工贸园区A3-0101-2号附近公司|许可经营项目：无 一般经营项目：投资与资产管理；旅游项目开发|
喀喇沁旗峰达矿业发展有限公司|邵小兵|13391777663|||内蒙古自治区赤峰市喀喇沁旗锦山镇龙祥家园|418万|2006-09-19|存续|150428000000428|91150428793604380G|793604380|91150428793604380G|其他有限责任公司(1190)|2006-09-19至2026-09-18|批发业||2017-09-18|418万|||喀喇沁旗市场监督管理局河南街道市场监督管理所||Harqin Qi Fengda Mining Industry Development Co.,Ltd.|内蒙古自治区赤峰市喀喇沁旗锦山镇龙祥家园　　　　　　　　　　　　　附近公司|许可经营项目：多金属矿普查（在《矿产资源勘查许可证》有效期内经营）；技术服务、信息咨询。 一般经营项目：无|
喀喇沁旗鑫盛达正新玛吉斯轮胎总代理|高亚平||||内蒙古自治区赤峰市交警队斜对过||2008-06-12|注销|150428600021360||||个体工商户||零售业||2018-12-25||||喀喇沁旗市场监督管理局|||内蒙古自治区赤峰市交警队斜对过附近公司|轮胎 零售|
喀喇沁旗红侠综合批发门市|张德超||||内蒙古自治区赤峰市喀喇沁旗小牛群镇五家村五组|10000万|2010-08-26|吊销|150428600078815||||个体户|2010-08-26至2099-12-31|零售业||2012-03-29||||喀喇沁旗市场监督管理局|||内蒙古自治区赤峰市喀喇沁旗小牛群镇五家村五组附近公司|许可经营项目：无 一般经营项目：百货、五金、水果、蔬菜、预包装食品、散装食品、乳制品（不含婴幼儿配方乳粉）零售。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
喀喇沁旗六合通蓄电池修复部|吕志东||||内蒙古自治区赤峰市交警队东200米处||2008-02-29|注销|150428600004643||||个体工商户||机动车、电子产品和日用产品修理业||2018-10-29||||喀喇沁旗市场监督管理局|||内蒙古自治区赤峰市交警队东200米处附近公司|蓄电池维修 充电 电动车修理 修理服务|
喀喇沁旗铁云太阳能经销处|张志丰||||内蒙古自治区赤峰市国土资源局楼下||2007-06-08|吊销|150428600125537||||个体户||零售业||2013-05-09||||喀喇沁旗市场监督管理局|||内蒙古自治区赤峰市国土资源局楼下附近公司|太阳能及配件 零售 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
喀喇沁旗时佳达钟表城|邢雨莲||||内蒙古自治区赤峰市气象局门房|10000万|2008-06-16|吊销|150428600021677||||个体户|2008-06-16至2012-06-15|零售业||2008-06-16||||喀喇沁旗市场监督管理局|||内蒙古自治区赤峰市气象局门房附近公司|钟表 小百货 零售 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
宁城县洋华种养殖专业合作社|赵利华||||内蒙古自治区赤峰市宁城县一肯中乡朝阳地村四组（15号）|200万|2017-12-19|存续|150429020177994|93150429MA0NPEKD6D|MA0NPEKD6|93150429MA0NPEKD6D|农民专业合作社(9100)||农业||2017-12-19||||宁城县市场监督管理局|||内蒙古自治区赤峰市宁城县一肯中乡朝阳地村四组（15号）附近公司|谷物、蔬菜、中药材、食用菌、水果、烟叶、蔬菜种苗、苗木种植；家禽、家畜饲养；为农业生产提供农业机械作业服务；为服务对象提供化肥、农膜等生产资料；组织采购、供应成员所需的生产资料；组织收购、销售成员的产品；引进、推广新技术、新品种，开展相关的技术培训、技术交流和信息咨询服务；开展成员所需的运输、贮藏、加工、包装服务。|
宁城县宋学彬蔬菜种植专业合作社|宋学彬||||内蒙古自治区赤峰市宁城县大城子镇瓦南村4组（98号）|150万|2017-12-19|存续|150429020178165|93150429MA0NPEY17J|MA0NPEY17|93150429MA0NPEY17J|农民专业合作社(9100)||农业||2018-01-12||||宁城县市场监督管理局|||内蒙古自治区赤峰市宁城县大城子镇瓦南村4组（98号）附近公司|谷物、蔬菜、中药材、食用菌、水果、烟叶、蔬菜种苗、苗木种植；为农业生产提供农业机械作业服务；为服务对象提供化肥、农膜等生产资料；组织采购、供应成员所需的生产资料；组织收购、销售成员的产品；引进、推广新技术、新品种，开展相关的技术培训、技术交流和信息咨询服务；开展成员所需的运输、贮藏、加工、包装服务。|
内蒙古元亨实业集团有限公司|王九田|15248602196|||宁城县天义镇哈河大街北侧（宁城县天义汽车客运站迁建工程办公楼元亨酒店十二楼）|12243万|2004-07-05|存续|150429000001362|91150429764469271Q|764469271|91150429764469271Q|有限责任公司(自然人投资或控股)(1130)|2004-07-05至无固定期限|道路运输业||2017-01-24||||宁城县市场监督管理局|宁城县元亨运输集团有限公司["宁城县元亨运输集团有限公司","内蒙古元亨运输集团有限公司","宁城县元亨运输有限公司","宁城县丰泰运输有限责任公司"]查看更多|Inner Mongolia Yuanheng Industry Group Co.,Ltd.|宁城县天义镇哈河大街北侧（宁城县天义汽车客运站迁建工程办公楼元亨酒店十二楼）附近公司|许可经营项目：无 一般经营项目：国道３０６线与县道天旺线收费公路经营与管理；以下经营范围限分公司经营：餐饮服务、住宿服务、会议展览服务|内蒙古元亨实业集团有限公司是由宁城县元亨运输有限责任公司、宁城县通达运输有限公司、内蒙古元亨实业集团道桥分公司、辽宁元亨生物科技有限公司、赤峰元亨矿业有限公司、赤峰元亨房地产开发有限公司组建而成的综合民营股份制企业。集团公司始终坚持“求实创新、图强奋进”的经营理念，大力弘扬“忠诚、团结、求实、创新”的企业精神，解放思想，高点定位，顽强拼搏。
宁城县圣泉旅游发展有限公司|彭铭|4820667|||内蒙古自治区赤峰市宁城县温泉街道（56号御水花园2号楼-202室）|50000万|2018-01-04|存续|150429020217622|91150429MA0NQQH25R|MA0NQQH25|91150429MA0NQQH25R|其他有限责任公司(1190)|2018-01-04至2022-07-21|商务服务业||2019-05-29|45907万|小于50人|11|宁城县市场监督管理局|||内蒙古自治区赤峰市宁城县温泉街道（56号御水花园2号楼-202室）附近公司|旅游景区开发与经营管理；房屋建筑工程、市政工程、园林绿化工程、园林景观工程、建筑装饰工程、公路工程、桥梁工程、水利水电工程、土木工程施工；广告设计、制作、代理、发布；摄影摄像、会议及展览服务、商务信息咨询、旅游信息咨询服务；票务代理服务；公路旅客运输、道路普通货物运输；谷物、蔬菜、水果、花卉、苗木、食用菌种植、销售；花卉、盆景租赁、房屋租赁；电脑图文设计、制作；文化用品、工艺美术品、建筑材料、五金交电、家具、办公用品销售；净水机、空调设备、制冷设备、机电设备销售、安装；水产、家畜、家禽养殖、销售；物业管理；餐饮服务、住宿服务、滑雪场娱乐服务；饮用水水产、销售。|
内蒙古塞飞亚集团有限责任公司|李秉和|13404890799|saifeiya@saifeiya.com||宁城县天义镇大宁路A段西侧南环街南侧(原天义冷冻厂)|12039.738万|1996-11-18|存续|150429000000265|911504291151377018|115137701|911504291151377018|有限责任公司(自然人投资或控股)(1130)|1996-11-18至2026-11-17|商务服务业||2015-10-30|461.08万|||宁城县市场监督管理局|||宁城县天义镇大宁路A段西侧南环街南侧(原天义冷冻厂)附近公司|企业管理与咨询服务；对制造业、采矿业、房地产业、交通运输业投资；经营本企业、成员企业市场开发与连锁经营及生产、科研所需的原辅材料、机械设备、仪器仪表及零部件|内蒙古塞飞亚集团有限责任公司是一个以肉鸭繁育、养殖加工为主体，以熟食制作、连锁餐饮、印刷包装、生物肥料、沼气发电为补充，拥有18个直属企业的大型现代民营企业。总资产10亿元人民币，员工5000人，是农业产业化国家重点龙头企业、国家优秀龙头企业、国家扶贫龙头企业、全国创名牌重点企业、全国诚信守法企业、国家级高新技术企业、国家AAA级标准化良好行为企业，内蒙古塞飞亚集团有限责任公司的肉鸭产业被列为国家农副产品深加工食品工业示范项目、国家星火计划项目。
内蒙古宁浩建筑劳务有限责任公司|张玉风||||内蒙古自治区赤峰市宁城县天义镇天南村9组|30000万|2019-05-30|存续||91150429MA0Q96KA5C|MA0Q96KA5|91150429MA0Q96KA5C|有限责任公司(自然人独资)(1151)|2019-05-30至无固定期限|房屋建筑业||2019-05-30||||宁城县市场监督管理局|||内蒙古自治区赤峰市宁城县天义镇天南村9组附近公司|劳务派遣服务；住宅房屋建筑；体育场馆建筑；其他房屋建筑。|
内蒙古大盛堂药业有限责任公司|孙希荣|0476-4243018|nmgdst99@163.com||宁城县中京工业园区|2599.9万|2000-08-18|存续|150429000006932|91150429720177365A|720177365|91150429720177365A|有限责任公司(自然人投资或控股)(1130)|2000-08-18至2030-08-17|零售业||2019-05-20|2599.9万|小于50人|11|宁城县市场监督管理局|赤峰大盛堂药业有限责任公司["赤峰大盛堂药业有限责任公司","宁城大盛堂药业有限责任公司","宁城县大业经贸有限责任公司"]查看更多||宁城县中京工业园区附近公司|许可经营项目：无 一般经营项目：中药材、中成药、中药饮片、化学药制剂、抗生素制剂、生化药品、生物制品、蛋白同化制剂、肽类激素、医疗器械、食品、化妆品、卫生用品、日用百货、服装鞋帽、针纺织品、文化体育用品、保健品、保健食品、机电产品、五金交电、矿产品、建材、化肥、农膜销售；中药材、农副产品购销；服装、中药材加工、销售；房屋出租；会议及展览服务|
宁城天宇投资有限公司|韦树生|15047658525|tianyuhuagong@163.com||内蒙古自治区赤峰市宁城县天义镇友谊路中段（中城Ｃ段）|2200万|2008-05-16|存续|150429000002907|91150429674378720H|674378720|91150429674378720H|有限责任公司(自然人投资或控股)(1130)|2008-05-16至2028-05-15|商务服务业||2016-08-24|2200万|||宁城县市场监督管理局|||内蒙古自治区赤峰市宁城县天义镇友谊路中段（中城Ｃ段）附近公司|许可经营项目：无 一般经营项目：对采矿业、建筑业、房地产业、制造业、商业投资|
内蒙古绿安佳食品有限公司|余建强|0476-4076116|291808438@qq.com||宁城县大双庙镇朝阳山村|1800万|2014-07-09|存续|150429000024465|91150429397156782F|397156782|91150429397156782F|其他有限责任公司(1190)|2014-07-09至无固定期限|批发业||2016-12-09||||宁城县市场监督管理局|||宁城县大双庙镇朝阳山村附近公司|许可经营项目：无 一般经营项目：农副产品购销（不含粮食）；蔬菜制品加工、销售；食品销售；自营代理各类商品和技术的进出口业务（国家禁止进出口的商品和技术除外）|
宁城县宁信融资担保有限公司|张国丛|0476-4238003|cfncjrb218@126.com||宁城县天义镇大宁路B段东侧（建设银行办公楼三楼）|5000万|2014-01-02|存续|150429000022066|911504290895519249|089551924|911504290895519249|有限责任公司(国有独资)(1110)|2014-01-02至2034-01-01|商务服务业||2014-04-18||||宁城县市场监督管理局|||宁城县天义镇大宁路B段东侧（建设银行办公楼三楼）附近公司|许可经营项目：贷款担保、票据承兑担保、贸易融资担保、项目融资担保、信用证担保、其他融资性担保业务；可以兼营下列非融资性担保业务：诉讼保全担保、投标担保、预付款担保、工程履约担保、尾付款如约偿付担保等履约担保业务、与担保业务有关的融资咨询、财务顾问等中介服务、以自有资金进行投资、监管部门规定的其他业务。（凭许可证并在有效期内经营） 一般经营项目：无|
内蒙古群峰投资建设有限公司|赵忠杰|18504763125|||赤峰市宁城县天义镇哈河大街北侧（元亨酒店十一楼）|10000万|2017-01-09|存续|150429000039684|91150429MA0N3K084M|MA0N3K084|91150429MA0N3K084M|有限责任公司(自然人投资或控股)(1130)|2017-01-09至2047-01-08|土木工程建筑业||2017-01-09||||宁城县市场监督管理局|||赤峰市宁城县天义镇哈河大街北侧（元亨酒店十一楼）附近公司|许可经营项目：无 一般经营项目：公路建设项目的设计、投资、建设、运营|
赤峰市创恒劳务有限公司|叶伟灵|15149176279|||宁城县天义镇大宁路B段西侧南环街北侧（建行住宅楼2#三单元六楼东室）|12000万|2017-09-15|存续|150429000044715|91150429MA0NJ70Y99|MA0NJ70Y9|91150429MA0NJ70Y99|有限责任公司(自然人独资)(1151)|2017-09-15至无固定期限|商务服务业||2017-09-15||||宁城县市场监督管理局|||宁城县天义镇大宁路B段西侧南环街北侧（建行住宅楼2#三单元六楼东室）附近公司|许可经营项目：无 一般经营项目：建筑劳务分包；土石方工程、房屋建筑工程、土木工程、隧道和桥梁工程、水利和内河港口建筑工程、水源及供水设施工程、河湖治理及防洪工程、港口及航运设施工程、架线和管道工程、架线及设备工程、建筑装饰工程、园林绿化工程施工；建筑物拆除服务；工程机械设备租赁；道路普通货物运输；电气安装|
赤峰高铁宁城投资开发有限公司|肖振富|5666881|||宁城县天义镇长青路北段东侧金融街北（腾远商业综合办公楼十二层1#-1-1201室）|5000万|2017-03-01|存续|150429000040192|91150429MA0N58867A|MA0N58867|91150429MA0N58867A|其他有限责任公司(1190)|2017-03-01至无固定期限|商务服务业||2018-01-24|5000万|小于50人|10|宁城县市场监督管理局|||宁城县天义镇长青路北段东侧金融街北（腾远商业综合办公楼十二层1#-1-1201室）附近公司|许可经营项目：无 一般经营项目：高铁项目投资与经营管理|
宁城赋顺投资有限公司|阎凤芝|13404890799|||宁城县汐子镇汐子村十组|2000万|2013-07-25|存续|150429000020575|911504290725967394|072596739|911504290725967394|有限责任公司(自然人投资或控股)(1130)|2013-07-25至2033-07-24|商务服务业||2017-07-26|2000万|||宁城县市场监督管理局|||宁城县汐子镇汐子村十组附近公司|许可经营项目：无 一般经营项目：投资与资产管理|
宁城县八里罕镇基层供销合作社有限公司|南立志|13847685396|1140629095@qq.com||宁城县八里罕镇八里罕村|30万|2015-08-14|存续|150429000030525|91150429353079308L|353079308|91150429353079308L|其他有限责任公司(1190)|2015-08-14至无固定期限|零售业||2017-10-31||||宁城县市场监督管理局|||宁城县八里罕镇八里罕村附近公司|许可经营项目：无 一般经营项目：农作物种植、销售；农产品、蔬菜、水果、农副产品、废旧物资购销；化肥、农膜、农药、农业机械、饲料、温室大棚物资、五金建材、日用百货、日用杂品、家用电器、厨房用具、卫生用品、文体用品、化妆品、服装鞋帽、针纺织品、烟花爆竹销售；农机服务、仓储服务、空车配货、物流信息服务、托老服务；物业管理；职业技能培训；园林绿化工程施工；纸制品加工、销售|
内蒙古正基企业投资管理集团有限公司|周伟军|15848971455|sjm@nmzhengji.com||内蒙古自治区赤峰市宁城县天义镇长青路北段园林路东正基百货四楼|3030万|2012-04-23|存续|150400000027449|91150429594616610E|594616610|91150429594616610E|有限责任公司(自然人投资或控股)(1130)|2012-04-23至2032-04-22|商务服务业||2017-11-13||||宁城县市场监督管理局|内蒙古正基企业投资管理有限公司||内蒙古自治区赤峰市宁城县天义镇长青路北段园林路东正基百货四楼附近公司|企业投资与经营管理|
赤峰市卓伦拉锁式新型建材科技有限公司|刘宇辉|13701175785|||内蒙古自治区赤峰市宁城县天义镇大宁路B段东侧南环街北侧（温馨佳苑二期17-2-107室）|11000万|2018-01-19|存续|150429020254400|91150429MA0NRLK69G|MA0NRLK69|91150429MA0NRLK69G|有限责任公司(自然人投资或控股)(1130)|2018-01-19至2045-09-22|科技推广和应用服务业||2018-01-19||||宁城县市场监督管理局|||内蒙古自治区赤峰市宁城县天义镇大宁路B段东侧南环街北侧（温馨佳苑二期17-2-107室）附近公司|墙体材料部品与构件研发、生产、销售、安装；装配式房屋、被动式房屋制造、销售；墙体材料设备研发、加工、销售、服务；秸秆、非金属废料和碎屑收购、研发与利用；建筑材料销售；进出口贸易（国家禁止进出口的商品和技术除外）；专利技术推广。|
内蒙古科艺农业科技有限公司|林安诚|15049684333|377829121@qq.com||内蒙古自治区赤峰市宁城县天义镇（中京工业园区）|10000万|2018-02-11|存续|150429020305778|91150429MA0PQPMQ29|MA0PQPMQ2|91150429MA0PQPMQ29|有限责任公司(自然人独资)(1151)|2018-02-11至无固定期限|科技推广和应用服务业||2018-07-02||||宁城县市场监督管理局|||内蒙古自治区赤峰市宁城县天义镇（中京工业园区）附近公司|农作物、苗木、花卉种植、销售；新能源、新材料技术研发、技术推广、技术转让；秸秆、动物毛收购、加工；饲料、服装、纸制品、建筑材料、肥料、床上用品、食品、酒生产、销售；化肥、农药、农膜、日用百货、农业机械、种子、羽毛（绒）销售；农副产品、土特产品、粮食购销；农业科技研发、推广及应用；进出口贸易（国家禁止进出口的商品和技术除外）。|
宁城县国有资本投资运营有限公司|王刚|13847681999|||内蒙古自治区赤峰市宁城县天义镇哈河大街中段南侧（宁城县党政综合楼1507室）|10000万|2018-04-26|存续|150429020482894|91150429MA0PU6FY3W|MA0PU6FY3|91150429MA0PU6FY3W|有限责任公司(国有独资)(1110)|2018-04-26至无固定期限|商务服务业||2018-04-26|300万|||宁城县市场监督管理局|||内蒙古自治区赤峰市宁城县天义镇哈河大街中段南侧（宁城县党政综合楼1507室）附近公司|投资与资产经营管理；公共服务领域项目建设、棚户区改造项目建设、城市基础项目建设、园区基础设施建设、农村基础设施建设；房地产开发与经营、旅游景区开发与经营管理；餐饮服务、住宿服务、土地收购、储备、管理；汽车租赁、房屋租赁、物业管理；水利水电工程、市政公用工程、道路工程施工；土木工程建筑；办公设备、计算机及辅助设备、电子产品销售；信息系统集成服务。|
内蒙古宏旭新能源科技有限公司|柴子薪|18603316063|||宁城县天义镇大明镇五官营子村|10000万|2017-08-29|存续|150429000044469|91150429MA0NH65H86|MA0NH65H8|91150429MA0NH65H86|有限责任公司(自然人投资或控股)(1130)|2017-08-29至无固定期限|电力、热力生产和供应业||2018-11-02||||宁城县市场监督管理局|||宁城县天义镇大明镇五官营子村附近公司|许可经营项目：无 一般经营项目：太阳能发电；光伏发电设备研发、制造、销售、安装、维修；光伏发电工程施工；新能源技术研发及技术服务；合同能源管理|
敖汉旗老哈河水稻种植农民专业合作社|刘文彬||||内蒙古自治区赤峰市敖汉旗四道湾子镇下树林子村|360万|2009-10-16|存续|150430NA000115X|93150430MA0N2E5C7T|MA0N2E5C7|93150430MA0N2E5C7T|农民专业合作社(9100)||农业||2018-09-21||||赤峰敖汉旗四道湾子市场监督管理所|||内蒙古自治区赤峰市敖汉旗四道湾子镇下树林子村附近公司|许可经营项目：无 一般经营项目：水稻种植；稻草帘编织；组织采购本社社员所需的生产资料（需审批的除外）；销售本社社员生产的产品；信息咨询服务|
敖汉旗新惠鼎顺废旧资源寄卖行|赵洪利||||内蒙古自治区赤峰市敖汉旗新惠镇新中街鸿祥商厦二楼|100000万|2010-04-09|吊销|150430600130725||||个体户|2010-04-09至2014-04-08|零售业||2010-06-18||||敖汉旗市场监督管理局|||内蒙古自治区赤峰市敖汉旗新惠镇新中街鸿祥商厦二楼附近公司|许可经营项目：***一般经营项目：废旧资源寄卖（不含危险品和国家命令禁止个人经营的物品）*** (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
敖汉旗新惠严氏大牧场风干肉绿食店|严冬建||||内蒙古自治区赤峰市敖汉旗新惠镇强盛花园一楼|50000万|2009-09-10|吊销|150430600105466||||个体户|2009-09-10至2013-09-09|批发业||2010-06-22||||敖汉旗市场监督管理局|||内蒙古自治区赤峰市敖汉旗新惠镇强盛花园一楼附近公司|批发兼零售预包装食品、散装食品（食品流通许可证有效期至2013年5月18日）*** (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
敖汉旗新惠金九调料门市|齐军||||内蒙古自治区赤峰市敖汉旗新惠镇惠洲街理想家园7号楼|50000万|2012-06-15|吊销|150430600212160||||个体户|2012-06-15至2099-12-31|零售业||2012-06-15||||敖汉旗市场监督管理局|||内蒙古自治区赤峰市敖汉旗新惠镇惠洲街理想家园7号楼附近公司|许可经营项目：零售：预包装食品兼散装食品、不含乳制品（食品流通许可证有效期至2015年06月12日）。 一般经营项目：无 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
敖汉旗新惠蒙都牛肉干店|王旭东||||内蒙古自治区赤峰市敖汉旗新惠镇新中街新化小区对过|50000万|2011-06-03|吊销|150430600188729||||个体户|2011-06-03至2015-06-02|批发业||2011-06-03||||敖汉旗市场监督管理局|||内蒙古自治区赤峰市敖汉旗新惠镇新中街新化小区对过附近公司|许可经营项目：预包装食品、散装食品（食品流通许可证有效期至2014年05月31日）***一般经营项目：*** (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
敖汉旗新惠达盛昌废旧资源寄卖行|张文达||||内蒙古自治区赤峰市敖汉旗新惠镇新中街交警队对过|50000万|2010-10-27|吊销|150430600154155||||个体户|2010-10-27至2014-10-26|零售业||2010-10-27||||敖汉旗市场监督管理局|||内蒙古自治区赤峰市敖汉旗新惠镇新中街交警队对过附近公司|许可经营项目：***一般经营项目：废旧资源寄卖（不含国家明令禁止个人自由买卖的物资、不含危险化学品、不含生产物资、不得开办地下钱庄）*** (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
敖汉旗新惠芳华饺子馆|张凤华||||内蒙古自治区赤峰市敖汉旗新惠镇新中街三中门南|50000万|2011-04-26|吊销|150430600175119||||个体户|2011-04-26至2015-04-25|餐饮业||2011-04-26||||敖汉旗市场监督管理局|||内蒙古自治区赤峰市敖汉旗新惠镇新中街三中门南附近公司|许可经营项目：餐饮服务（不含凉菜、不含裱花蛋糕、不含生食海产品）（餐饮服务许可证有效期至2014年4月24日）***一般经营项目：*** (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
敖汉旗新惠王金圆春饼铺|王金圆||||内蒙古自治区赤峰市敖汉旗新惠镇理想家园西门南20米|50000万|2011-04-28|吊销|150430600180950||||个体户|2011-04-28至2015-04-27|餐饮业||2011-04-28||||敖汉旗市场监督管理局|||内蒙古自治区赤峰市敖汉旗新惠镇理想家园西门南20米附近公司|许可经营项目：餐饮服务（不含凉菜、不含裱花蛋糕、不含生食海产品）（餐饮服务许可证有效期至2014年3月21日）***一般经营项目：*** (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰市泽丰劳务分包有限公司|崔振学||||内蒙古自治区赤峰市敖汉旗新惠镇正大物流配送中心综合楼2楼1号厅|50000万|2018-10-18|存续||91150430MA13N04U8Q|MA13N04U8|91150430MA13N04U8Q|有限责任公司(自然人投资或控股)(1130)|2018-10-18至无固定期限|房屋建筑业||2018-10-18||||敖汉旗市场监督管理局|||内蒙古自治区赤峰市敖汉旗新惠镇正大物流配送中心综合楼2楼1号厅附近公司|建筑工程、公路工程、铁路工程、港口与航道工程、水利水电工程、电力工程、石油化工工程、通讯工程、市政工程、机电安装工程、电子与智能化工程、防水防腐保温工程、建筑装修装饰工程、建筑幕墙工程、古建筑工程、城市及道路照明工程、机场跑道工程、环保工程、特种工程施工；道路普通货物运输；机械设备租赁；建筑材料销售。|
敖汉旗众鑫矿业开发有限公司|王怀宇|18642177666|trcwb@126.com||内蒙古自治区赤峰市敖汉旗贝子府镇巨林营子村|100万|2010-01-19|存续|150430000012616|91150430699465353W|699465353|91150430699465353W|有限责任公司(自然人投资或控股)(1130)|2010-01-19至2020-01-18|黑色金属矿采选业||2017-08-23|100万|||赤峰敖汉旗贝子府市场监督管理所|||内蒙古自治区赤峰市敖汉旗贝子府镇巨林营子村附近公司|许可经营项目：无 一般经营项目：矿产品销售|
