2019年中国电子书阅读器市场分析报告-市场现状调查与发展商机研究|-|七、凭借内容优势方正大肆进军电子书终端市场 八、方正电子书阅读器市场的制胜战略 第三节 大唐电信科技股份有限公司 一、企业概况 二、企业主要经济指标分析 三、企业盈利能力分析 四|-|中国报告网|-|20小时23分钟前|-|https://news.tianyancha.com/detail/95f0cb412810449ace5907a403862fbb0ee1ea0b.html
百度布局未来智能交通：聪明的车+智能的路，相互协调缺一不可|-| 当天，百度还宣布将基于全球领先的 Apollo 开放平台强大的生态能力，与大唐电信集团、千方科技、中国联通等产业链关键环节的代表性企业展开合作，全面整合汽车制造|-|亿欧网|-|2018年09月16日|-|https://news.tianyancha.com/detail/35da14042b9be3a5ad06a5b2f9515c2201c316ef.html
阿里宣布与英特尔、大唐就车路协同开展协作，V2X将成为BAT新战场？|-|阿里巴巴AliOS宣布将与英特尔、大唐电信集团展开智能交通－车路协同领域的战略合作。 根据协议，基于英特尔处理器的边缘计算平台在V2X上的应用，AliOS将与其共同探索5G通信技术|-|维科网|-|2018年09月15日|-|https://news.tianyancha.com/detail/0862fdd8dc609bd72b4ac164c07a5bea311c1a7c.html
大悟县政府与大唐融合签订《服务外包基地合作协议书》|-|湖北省大悟县政府与大唐融合签订《大唐电信大悟服务外包基地合作协议书》。大悟县县长余海群、副县长刘智勇，朱晓春，高铁试验区书记吴东初，县办公室主任丁辉峰，招商局局长李峰|-|微信公众号|-|2018年09月13日|-|https://news.tianyancha.com/detail/5dc6db141b5a6771528e4600faab2f16f81fe5cd.html
【报名中】有限的生命，如何装下诸多丰盛的理想？——《高效能人士的七个习惯》|-|并将以主动积极的心态去思考和感悟，这种思考和感悟将持续改变我们，并且需要我们用一生去实践。——大唐电信集团董事长兼总裁周寰《高效能人士的七个习惯》这门课程在我们的管理人员中引起了极大的反响|-|微信公众号|-|2018年09月12日|-|https://news.tianyancha.com/detail/262a1c5397c6e118d4d6a95ecf4b9f73f28feaef.html
12日收评：大盘考验2638点“股灾底”|-|龙建股份3天振幅16%；吉林高速2天振幅15.99%荣之联3天振幅17.17%，大唐电信8天上涨26.99%（更名前）；智慧农业2个涨停（更名前）等牛股；吉林高速|-|新浪网|-|2018年09月12日|-|https://news.tianyancha.com/detail/25778ea4e4b6574412aefae4637977e90772472a.html
郭华东、邬贺铨两院士领衔，大数据科技传播与应用头脑风暴！|-|广东番禺人。1964年毕业于武汉邮电学院，曾任信息产业部电信科学技术研究院副院长兼总工程师、大唐电信集团副总裁。现兼任国家863计划监督委员会副主任、国家973计划专家顾问组成员|-|微信公众号|-|2018年09月05日|-|https://news.tianyancha.com/detail/e211039ed86365d9a52aeb7224e59f17afe1f2c4.html
高通总裁：5G驱动汽车行业变革|-|福特等汽车厂商联手开展的C-V2X的互操作实验，并特别宣布 ， 就在今年8月，大唐电信与高通基于高通9150 C-V2X芯片组、大唐LTE-V2X模组DMD 31|-|快科技|-|2018年08月30日|-|https://news.tianyancha.com/detail/1c3ac1685aabf42a7b557722c0f4e0efe06ef2ff.html
2018中国国际智能产业博览会“智能时代车联网发展论坛”在重庆召开|-|欧亚科学院院士李德毅，长安汽车总裁朱华荣，中国汽车工程研究院股份有限公司董事长李开国，大唐电信科技产业集团总工程师、首席科学家王映民等车联网行业的重量级嘉宾参会发言。来自政府部门|-|微信公众号|-|2018年08月29日|-|https://news.tianyancha.com/detail/eed5f34476a438149932cdda3feb828b78ed4919.html
物联网领域的这些企业，你要知道！|-|腾讯| QQ物联、腾讯云、微信硬件平台 6 | 中兴通讯| 5G、AnyLink物联网平台 7| 大唐电信| 5G、通信模块、应用芯片 8| 中国联通| 5G、沃云、M2M物联网卡 9||-|微信公众号|-|2018年08月28日|-|https://news.tianyancha.com/detail/2e54aa2e011eca9603b6ced51d427e320b3f65e9.html
集成电路国产替代加速2018集成电路概念股一览|-|只有真正具有核心竞争力的公司才能在这个市场中生存并充分享受行业增长红利。 相关概念股： 大唐电信：基带技术领先，汽车半导体芯片国内独家。公司旗下子公司联芯科技是国内TD-|-|新浪网|-|2018年08月28日|-|https://news.tianyancha.com/detail/eb24b12ee2af08490a39795711b1010452e3f038.html
智能网联汽车关键技术调研报告|-|研究机构和组织开展V2X 无线通信技术研究与测试评估提供环境支撑和资源保障。 2016年11 月，大唐电信集团基于自主研发制造的LTE-V2X芯片级解决方案|-|微信公众号|-|2018年08月27日|-|https://news.tianyancha.com/detail/b2fe6d2c8900bf061dbf106bef67693cf92b7547.html
马云马化腾李彦宏同台激辩！一文看尽重庆智博会热点|-| 此前在智东西（紫光/高通正面开战！最受争议中美芯片合资案获批）一文中我们提到，去年5月大唐电信旗下的联芯科技、高通、建广资产、智路资本首次宣布合资设立瓴盛科技，聚焦中低端手机芯片|-|TechWeb|-|2018年08月23日|-|https://news.tianyancha.com/detail/dba4ddc2b56c11fccefb0ede1bf10eb1e940388e.html
25%的业绩增速能否托起大盘？还有一批高速增长公司在助攻|-|有上半年业绩下滑或者亏损的10家公司，预计三季度可以实现业绩增长或者扭亏。 其中较为明显的是*ST大唐，公司上半年亏损3.66亿元，较上年同期有所加剧，但公司预告1-9月可以实现盈利。|-|财富动力网|-|2018年08月22日|-|https://news.tianyancha.com/detail/210f56fd288ee96b95ae76688debd6ff66c26a21.html
845家公司披露中报近七成净利增长|-|近70家资产负债率超过70%;近30家资产负债率超过80%;近10家资产负债率超过90%。其中，*ST大唐的资产负债率更是达到104.43%，这就意味着公司已经资不抵债。 此外|-|大众新闻网|-|2018年08月17日|-|https://news.tianyancha.com/detail/79aad96ab0cbc2025e749bfa49333654be4d521a.html
通信业发力车联网打造全网智慧交通|-|第三类是与4S店、整车厂商、零部件厂、充电桩运营企业合作，提供面向车的服务。 此外，华为、大唐电信、爱立信、高通在车联网上的投入也很大。华为最新推出的RSU（路边单元），是华为在C-|-|中国产业经济信息网|-|2018年08月17日|-|https://news.tianyancha.com/detail/286afee39193c7109623d75a750c624a5aaf9509.html
大唐电信集团发布2017年度企业社会责任报告|-|大唐电信集团发布2017年度企业社会责任报告《创造无限沟通》，向社会展示过去一年集团的履责实践和履责成果。这是大唐电信集团连续第8年发布企业社会责任报告。 报告围绕"合规运营发展、履行产业责任|-|中国产业经济信息网|-|2018年08月16日|-|https://news.tianyancha.com/detail/31c21f1d0c1748aef9b904dbd22bba9d685de803.html
领导层密集变动央企重组布局渐浮水面|-|由武汉邮电科学研究院与电信科学技术研究院联合重组成立，担任首任董事长的童国华曾在大唐电信和烽火通信都工作过，因此，新央企的成立被外界猜测为这两家上市公司整合道路上的重要节点。|-|中国产业经济信息网|-|2018年08月14日|-|https://news.tianyancha.com/detail/030c0e46f03b123403ad9c934276b092ccd357ad.html
13日收评：国产软件、5G等题材走强|-|龙建股份3天振幅16%；吉林高速2天振幅15.99%荣之联3天振幅17.17%，大唐电信8天上涨26.99%（更名前）；智慧农业2个涨停（更名前）等牛股；吉林高速|-|新浪网|-|2018年08月13日|-|https://news.tianyancha.com/detail/c0fad10024b3bfeaa371956a7794b1ccfd3013ae.html
价值投资关注发展潜力巨大的一个行业|-|在线医疗等领域概念股可受益。相关信息消费概念龙头一览 4G概念股：大富科技、东方明珠、富春通信、大唐电信等 移动互联：天音控股、拓维信息、掌趣科技、中青宝、恒信东方等。 移动通信转售：二六三|-|新浪网|-|2018年08月13日|-|https://news.tianyancha.com/detail/346d2326af0dfe1b8e09682a91a54d8ac2f58bdf.html
10日周评：创业板有望“领跑”未来行情|-|龙建股份3天振幅16%；吉林高速2天振幅15.99%荣之联3天振幅17.17%，大唐电信8天上涨26.99%（更名前）；智慧农业2个涨停（更名前）等牛股；吉林高速|-|新浪网|-|2018年08月10日|-|https://news.tianyancha.com/detail/166329df64a38d4c71745eb04155f9ec29d78fed.html
国资委旗下公司接力扭亏*ST新能资产瘦身大赚5.6亿|-|境内外油公司上游勘探开发资本支出较去年同期有所增加，公司主要专业工作量和主营业务收入同比增长。 *ST大唐今年一季度亏损1.5亿元，同比再度下滑17%，公司保壳动作提速。7月25日晚间|-|财富动力网|-|2018年08月10日|-|https://news.tianyancha.com/detail/813c38bd72b2923ed3b916d1dd57f1e7733bd8e5.html
高视科技姜涌：工业视觉领域的想象力边界还能更远|-|厂家两年左右可以收回成本。 子公司苏州高视科技于近期同大唐电信签署5G应用合作协议，联合开发机器视觉工业互联5G应用平台技术|-|维科网|-|2018年08月10日|-|https://news.tianyancha.com/detail/06f132362646c4794cc75fd7b69bb4a1f774193e.html
智造新力量50人丨高视科技姜涌：工业视觉领域的想象力边界还能更远|-|厂家两年左右可以收回成本。 子公司苏州高视科技于近期同大唐电信签署5G应用合作协议，联合开发机器视觉工业互联5G应用平台技术|-|亿欧网|-|2018年08月09日|-|https://news.tianyancha.com/detail/1ccfd0daacf5b90ca57cefec5a3e83f0790e71ce.html
大唐电信卖楼保壳押宝TD无果5G成最后一搏|-|大唐电信5G前的挣扎 日前，大唐电信发布公告，将以13.5亿元的价格出售北京科研中心的房产及附属设施。由于3G商用的不顺以及芯片领域的激烈竞争，这个曾经3G时代的翘楚亏损严重|-|中国产业经济信息网|-|2018年07月30日|-|https://news.tianyancha.com/detail/b9db832a4f211e8c1271a4dcd7bf3e1cc69d0bdc.html
游戏股今年有点凉74只游戏股中有70只下跌(名单)|-|另一家因造假上市面临退市的ST金亚，今年以来股价也下跌了74.3%。文投控股、*ST大唐、恺英网络等4只个股跌幅超过了50%。跌幅30~50%的有巨人网络、天舟文化|-|财富动力网|-|2018年07月29日|-|https://news.tianyancha.com/detail/7c4f9269ea843444495b7b43400d535a14298197.html
烽火与大唐电信合并如何实现1+1>2？|-|中国信息通信科技集团在湖北武汉正式成立。武汉邮电科学研究院（烽火集团）和电信科学技术研究院（大唐电信集团），这一南一北两大信息通信研究院，合并为一家公司开始运营。二者合一后|-|中国产业经济信息网|-|2018年07月25日|-|https://news.tianyancha.com/detail/1f43158e87bca2c4b5f3097f6b9a83a45efe1f92.html
科技部国家级干细胞与再生医学国际联合研究中心—推广中心落户柳州|-|应用与技术推广中心 简 介 大科技产业（深圳）有限公司简介 大唐科技产业（深圳）有限公司是央企大唐电信设立在深圳的窗口型，试点单位。是一家致力于引进、整合国际/国内一流科技、医疗|-|微信公众号|-|2018年07月22日|-|https://news.tianyancha.com/detail/2400f0c1c7d1ee5a6f727fc8f4fd8e63d227a899.html
12日午评：大盘重拾升势，继续看多|-|龙建股份3天振幅16%；吉林高速2天振幅15.99%荣之联3天振幅17.17%，大唐电信8天上涨26.99%（更名前）；智慧农业2个涨停（更名前）等牛股；吉林高速|-|新浪网|-|2018年07月12日|-|https://news.tianyancha.com/detail/321ab23cf545074678cd9c99eee9e9404ce02db0.html
创业板有望成为反弹先锋错杀科技股值得投资者重点关注|-|武汉邮科院和电信科技研究院筹划重组，公司拥有强大光通信器件与设备的研制能力，与电信科学研究院旗下大唐电信、大唐移动在无线系统上的优势充分互补|-|财富动力网|-|2018年07月04日|-|https://news.tianyancha.com/detail/07ee5877b1a5c6d51a77280a694eb825ca8b074a.html
从MWCS2018看三大运营商5G“狂欢”：商用化进入冲刺阶段|-|因此更倾向于5G SA组网。为推动SA商用成熟，中国移动在MWCS 2018期间联合大唐电信、爱立信、华为、英特尔、诺基亚等全球合作伙伴共同发布"5G SA启航行动"|-|维科网|-|2018年07月04日|-|https://news.tianyancha.com/detail/8aa2f63428d24213f4196089b4545bf2359fcb6e.html
自动驾驶战争将打响，谁会分一杯羹？|-|福特也花力气布局C-V2X（基于蜂窝技术的车辆联网通信）技术，在中国就选择和大唐电信集团进行合作研发。 值得注意的是，目前国内自主品牌虽然也积极投入到自动驾驶的开发中去|-|亿欧网|-|2018年07月04日|-|https://news.tianyancha.com/detail/080998bbf1e4538cbb01fd1c992045f9fc008362.html
CMEL全国移动电竞超级联赛战略发布会举办|-|体育化发展新阶段。 中国文化娱乐行业协会法人刘金华，大唐电信科技产业集团副总裁陈山枝，大唐网络总裁、天天电竞董事长、CMEL创建人杨勇|-|海外网|-|2018年07月03日|-|https://news.tianyancha.com/detail/e7c942bf69565d151058e7e10120954f72d033ed.html
CMEL全国移动电竞超级联赛战略发布会圆满成功|-|体育化发展新阶段。 中国文化娱乐行业协会法人刘金华，大唐电信科技产业集团副总裁陈山枝，大唐网络总裁、天天电竞董事长、CMEL创建人杨勇|-|中国产业经济信息网|-|2018年07月03日|-|https://news.tianyancha.com/detail/2ac9793f0ce61dfbea980b5abf3b1f629254ef18.html
中兴事件再起波澜！造谣者居心何在？|-|要知道新成立的中国信息通信科技集团可是囊括了六家上市公司："烽火科技、光迅科技、大唐电信、长江通信、理工光科、高鸿股份"。真要受牵连、被制裁，损失将会更加巨大|-|维科网|-|2018年07月02日|-|https://news.tianyancha.com/detail/49cabc19c070633527b42e0bcde2bb77b1c76ffc.html
看好“文旅+电竞”融创联合主办“全国移动电竞超级联赛”|-|中国文化娱乐行业协会作为指导单位，大唐网络和融创中国联合主办。中国文化娱乐行业协会法人刘金华、大唐电信科技产业集团副总裁陈山枝、大唐电信科技股份有限公司总裁李永华、融创中国董事会主席孙宏斌|-|中国地产网|-|2018年06月30日|-|https://news.tianyancha.com/detail/81bfd004a91c57d379d8d07e0df118cb594c65b3.html
【财经下午】2018.06.29星期五|-|* 在原理上，区块链技术储存的数据具有不可篡改性。 7 、证券时报： 6月28日，中国移动联合大唐电信等全球合作伙伴共同发布“5G SA（独立组网）启航行动”，|-|微信公众号|-|2018年06月29日|-|https://news.tianyancha.com/detail/c8b0d432c2cecfef717e275a049a45aee4bf6a51.html
大唐电信与腾讯签署5G战略合作框架协议|-|近日，大唐电信集团与腾讯公司签署了关于5G战略合作框架协议，为5G产业化推进加速。 据C114中国通信网6月29日消息，5G的到来不仅仅是解决基础通信的问题，更使得人与人、人与物|-|中国证券网|-|2018年06月29日|-|https://news.tianyancha.com/detail/eb9bef21392c86da6f55fd63136561d34ea1e09d.html
财经早班车6月29日星期五|-|在原理上，区块链技术储存的数据具有不可篡改性。 7、证券时报：6月28日，中国移动联合大唐电信等全球合作伙伴共同发布“5G SA（独立组网）启航行动”|-|微信公众号|-|2018年06月29日|-|https://news.tianyancha.com/detail/83d73423dcca8b2d281e52f37fbd6060e44cef24.html
这个位置不看空，坐等绝地反击出现|-|邮科院和电科院整体划入中国信科集团，刺激了300557理工光科、000851高鸿股份、600198大唐电信均出现一字涨停板，但后市不建议追高。 近期指数连续迭创新低|-|新浪网|-|2018年06月29日|-|https://news.tianyancha.com/detail/a1557575b040b254c87b7c94f5aed67954fdf279.html
午评：创业板引领反弹，强势股两极分化|-|国务院批准武汉邮电科学研究院与电信科学技术研究院实施联合重组，旗下上市公司理工光科、高鸿股份、*ST大唐顶一字板开盘；原油期货大幅反弹，贝肯能源高开冲板被砸。新能源车延续活跃，欣锐科技四板领跑|-|新浪网|-|2018年06月28日|-|https://news.tianyancha.com/detail/694be7f43925745f64898e159a4da22f8571d2e6.html
午评:预计市场继续震荡磨底|-|邮科院旗下理工光科（300557），电科院旗下的高鸿股份（000851）、*ST大唐（600198）均一字涨停。WTI原油延续涨势，日内涨幅3.53%|-|新浪网|-|2018年06月28日|-|https://news.tianyancha.com/detail/71dbf79b9e059be162521477c8830bb1986684fb.html
武汉邮电科研院与电信科研院联合重组理工光科等涨停|-|、长江通信（行情600345,诊股）、理工光科等；电信科学技术研究院旗下上市公司有大唐电信、高鸿股份。 （更多精彩内容，关注云掌财经公众号（ID：yunzhangcaijing）|-|云掌财经|-|2018年06月28日|-|https://news.tianyancha.com/detail/bdb512b6885d9f800b42511435988fbec7180e22.html
通信领域“双院”重组获批准旗下上市公司将率先受益|-|行情002281,诊股）、长江通信（行情600345,诊股）、理工光科（行情300557,诊股）、大唐电信、高鸿股份（行情000851,诊股）等上市公司均就该重组事项进行了公告。|-|云掌财经|-|2018年06月28日|-|https://news.tianyancha.com/detail/83a5fa607582c7618ec60efc68fc2ca7e5e57f16.html
央企重组再下一城通信领域“双院”牵手|-|光迅科技、长江通信和理工光科，电信科学技术研究院旗下A股公司大唐电信和高鸿股份均已公告重组提示。且今年1月25日，据武汉东湖高新区管委会副主任夏亚民透露|-|中国产业经济信息网|-|2018年06月28日|-|https://news.tianyancha.com/detail/4a5430bb6f056cb432811e17ec7468798a4731da.html
6月28日股市内参整理（早知道）|-|当日晚间，"双院"旗下的烽火通信、光迅科技、长江通信、理工光科、大唐电信、高鸿股份等上市公司均就该重组事项进行了公告。 武汉邮电科学研究院在光通信领域技术突出|-|新浪网|-|2018年06月27日|-|https://news.tianyancha.com/detail/7db1b85ac2484eabc274e0dc30bf05fcb81bbb1f.html
国投：“输血式”公益扶贫和“造血式”产业扶贫相结合|-|含宁县）建设生猪养殖基地；与"神农本草"在合水县建设中药饮片加工厂；同时，与大唐电信在全国相关贫困县（含合水县）建设呼叫中心外包基地，带动更多贫困人口就业。 信托扶贫|-|中国产业经济信息网|-|2018年06月26日|-|https://news.tianyancha.com/detail/8c1206fa994b6340bcd344dd9701fe2b4ad87c48.html
大友互动案例|-|青安全应急体验馆多媒体系统设计实施 2013年 韶毛泽东同志纪念馆二层多媒体系统升级实施 2013大唐电信集团展厅增强现实技术研发及制作 2013四川大雅堂博物馆多媒体互动展示系统总包实施|-|微信公众号|-|2018年06月21日|-|https://news.tianyancha.com/detail/be9817287910acfea4d214b71ec0035f750a8807.html
3GPP大会:5G全球统一标准正式出炉|-|IMT-2020 5G推进组将与行业与社会各界一道，共同推动5G成功应用与发展。" 大唐电信（CATT） 大唐电信副总裁陈山枝博士表示："经过产业界各单位共同努力|-|亿欧网|-|2018年06月20日|-|https://news.tianyancha.com/detail/5a9ca77212476285c9df5c9f4584ca4f6d711629.html
忆往昔峥嵘岁月看今朝再启新篇|-|78%的企业制定了知识产权战略，极大地助力我国由轻工大国走向轻工强国。 在大唐电信科技产业集团董事长童国华看来，知识产权战略融入企业创新全过程|-|微信公众号|-|2018年06月19日|-|https://news.tianyancha.com/detail/3a7873c628e83b557eafa2779e81d1e3775d986c.html
早讯丨京东618下单额超1592亿元，拼多多黄峥：和淘宝是不一样的物种|-| 人民日报：中国5G产业2020年规模商用 记者日前从中国信息通信研究院、中国移动、大唐电信集团联合召开的国家工程实验室会议上了解到：随着完整版5G标准正式出台|-|亿欧网|-|2018年06月19日|-|https://news.tianyancha.com/detail/699570fbdb144b3ce2df46824448bb7560c83b57.html
5G首个完整版标准出炉产业进入全面冲刺新阶段|-|能够真正全面实现5G的技术指标和承诺，并为移动通信产业界创造出更新更多的发展机会。 大唐电信副总裁陈山枝博士表示："独立组网方式是全面支持5G移动互联网和物联网丰富应用的前提|-|中国产业经济信息网|-|2018年06月19日|-|https://news.tianyancha.com/detail/2f18017ca53a208b5cf5b9ccc9f5d18602b9fc48.html
刚刚，又一800亿规模平台爆雷，你中枪了吗？|-| 7、中国5G产业将全面启动 人民日报6月17日报道，记者日前从中国信息通信研究院、中国移动、大唐电信集团联合召开的国家工程实验室会议上了解到：随着完整版5G标准正式出台|-|微信公众号|-|2018年06月18日|-|https://news.tianyancha.com/detail/64e3afb1ca27441fe26ce16a15819f8d9dd507ce.html
5G商用迈出坚实一步|-|下一步将在工业、体育、视频、智慧城市等十大行业开展合作试验，丰富5G应用。大唐电信集团副总裁、国家工程实验室主任陈山枝介绍说，目前已启动100个基站连续覆盖试验|-|华龙网|-|2018年06月18日|-|https://news.tianyancha.com/detail/35f4fa281b02ed95677d9419a6e23c120e94d11e.html
5G第一阶段标准发布中国厂商标准约占三成|-|下一步将在工业、体育、视频、智慧城市等十大行业开展合作试验，丰富5G应用。大唐电信集团副总裁、国家工程实验室主任陈山枝介绍说，目前已启动100个基站连续覆盖试验|-|财富动力网|-|2018年06月17日|-|https://news.tianyancha.com/detail/8554804b3ec6ce3cb78bd168b70aa48cb1f6fa54.html
我国将启动5G产业为规模商用提供支撑|-|中国移动、大唐电信集团联合召开的国家工程实验室会议上了解到：随着完整版5G标准正式出台，我国5G产业将全面启动，测试、研发和试验也将全方位展开|-|南方都市数字报|-|2018年06月17日|-|https://news.tianyancha.com/detail/29a917d581a8ff86cbd08d4dfd984f41cbc8c17b.html
我国5G产业将全面启动为2020年规模商用提供支撑|-|中国移动、大唐电信集团联合召开的国家工程实验室会议上了解到：随着完整版5G标准正式出台，我国5G产业将全面启动，测试、研发和试验也将全方位展开|-|中国产业经济信息网|-|2018年06月17日|-|https://news.tianyancha.com/detail/69c1673ee75a8a554e6ff3a9aa68911117cfaaa1.html
手机芯片：5G和AI成竞争焦点|-|成为今年进攻中端以及中高端市场的主力产品。同时，高通也没有放弃低端市场。日前有消息称，大唐电信与高通等组建的中外合资公司 ----瓴盛科技获得相关部门批准|-|中国产业经济信息网|-|2018年06月16日|-|https://news.tianyancha.com/detail/e0ed0e7444acd1c082cb9b0dd418d34f6b420469.html
2018年中国电子竞技行业分析报告-市场深度分析与发展趋势研究|-|企业经营状况分析 10.3.5 企业最新发展动态 10.3.6 企业投资前景分析 10.4 大唐电信科技股份有限公司 10.4.1 企业发展基本情况 10.4.2 企业电子竞技业务布局|-|中国报告网|-|2018年06月15日|-|https://news.tianyancha.com/detail/74274f3c4d032c1b657eff40a9d4e5264f16e38d.html
大象潜伏股事（6月15日）星期五|-|昆药集团：长效降糖药苏帕鲁肽注射液获批临床 网宿科技：入选工信部网络安全试点示范项目 大唐电信：将推动5G技术在垂直行业的应用 丽江旅游：互联网时代的到来 将极大促进公司的发展|-|微信公众号|-|2018年06月15日|-|https://news.tianyancha.com/detail/8db5c8e6a30c042c70d3728868f5a70b52f37f14.html
汽车行业90%新势力将成为“先烈”　你怎么看？|-|智能化控制开发责任人玉川裕，博世（中国）投资有限公司执行副总裁徐大全，华为5G车联网负责人何超，大唐电信科技产业集团车联网产品线总监任世岩等行业大咖在论坛上发表了演讲。他们用高强度的头脑风暴|-|微信公众号|-|2018年06月06日|-|https://news.tianyancha.com/detail/c38cb94b199a214d62611f2f7b09b5b07607ef9a.html
第一版5G标准将于下月公布哪些概念股或将迎来利好？|-|2017年7月12日，中国移动5G北京试验网启动会召开。在启动会上，由中国移动研究院、北京移动、大唐电信集团联合组建的5G试验团队正式成立。根据中国移动规划，2017年在北京、上海、广州、苏州|-|财富动力网|-|2018年05月28日|-|https://news.tianyancha.com/detail/4d86cfa7079ae6e8849a31564b1c875bd1b83f0f.html
K线实战技巧之“缺口理论”|-|一是向上的突破缺口，二是向下的突破缺口。 沪向下的突破缺口走势图 案例解析：大唐电信 以大唐电信为例，该股在经过一段时间的箱体整理之后，于某一日跳空向上突破阻力线并一路高走|-|微信公众号|-|2018年05月28日|-|https://news.tianyancha.com/detail/927d33a309884f6938856a0f3294ac6e29b6aaaa.html
大唐微电子可信识别与存储项目获评公安部国家工程实验室重点项目|-|8年5月，公安部一所"多维身份识别与可信认证技术国家工程实验室"发布2018年度科研项目评审结果，由大唐电信旗下大唐微电子技术有限公司申报的"基于多维生物识别技术的终端安全芯片和平台安全存储芯片及其系|-|维科网|-|2018年05月28日|-|https://news.tianyancha.com/detail/5261ef5062e7c4a45d2f2ef6462e98b265cfa909.html
5G到来时，三大运营商谁能实现领跑？|-|竞争残酷。 国内的"巨大中华"，巨龙、大唐、中兴、华为如今只剩下中兴和华为两家。根据大唐电信2018年4月26日公布的2017年财报，营业收入43．48亿，同比下滑39．86％|-|维科网|-|2018年05月24日|-|https://news.tianyancha.com/detail/24c41c365bdf92c1866d1b91876ac5550d6d39b3.html
24日午评：打破“黑周四”魔咒很关键|-|龙建股份3天振幅16%；吉林高速2天振幅15.99%荣之联3天振幅17.17%，大唐电信8天上涨26.99%（更名前）；智慧农业2个涨停（更名前）等牛股； 5月7日星星科技涨停|-|新浪网|-|2018年05月24日|-|https://news.tianyancha.com/detail/aa384eeadf6c54fc25458357e0bf5d3453a98aa7.html
3GPP会议韩国进行中第一版5G标准呼之欲出|-| 为了确保5G SA标准于今年6月按时保质完成，早在今年2月，中国移动即联合大唐电信、爱立信、华为、英特尔、诺基亚贝尔、中兴通讯等合作伙伴启动了"5G SA突破行动"|-|维科网|-|2018年05月23日|-|https://news.tianyancha.com/detail/92b605eaa119bfc0809f71da10fb29f8f645a911.html
21日午评：大盘兑现8日的先河研判|-|龙建股份3天振幅16%；吉林高速2天振幅15.99%荣之联3天振幅17.17%，大唐电信8天上涨26.99%（更名前）；智慧农业2个涨停（更名前）等牛股； 5月7日星星科技涨停|-|新浪网|-|2018年05月21日|-|https://news.tianyancha.com/detail/973711e9e9c045f3e6cd6a985dee8bac18c03951.html
05月17日实时直播+实盘个股点评（全天）|-|昨日与大家分享的 彩 讯股份走势很不错，希望大家继续的关注次新股这里的机会！ 10:10 大家看看大唐电信600198该股，这节奏就是在跌停和涨停之间来回倒腾玩，能把投资者玩傻了|-|新浪网|-|2018年05月17日|-|https://news.tianyancha.com/detail/e2162cccc7e209ab751b806189b7ca5a3d44ccb9.html
16日收评：注意时间窗口的变盘|-|龙建股份3天振幅16%；吉林高速2天振幅15.99%荣之联3天振幅17.17%，大唐电信8天上涨26.99%（更名前）；智慧农业2个涨停（更名前）等牛股； 5月7日星星科技涨停|-|微信公众号|-|2018年05月16日|-|https://news.tianyancha.com/detail/767d1ffea671de9f030239fca73073b816a441ad.html
“智”在长远中国联通与人工智能相伴而行|-|十大重点发展领域之一，在去年6月7日至8日，中国联通与清华大学、星云互联、中兴通讯、大唐电信、福特中国、一汽集团等产业合作伙伴一起，在国家智能网联汽车（上海）试验基地采用实车测试|-|中国产业经济信息网|-|2018年05月16日|-|https://news.tianyancha.com/detail/97bc8879e32aa4c0fd5d7f56467075db31e369d8.html
15日收评：大盘剑指430日均线大盘震荡震荡加剧保持信心关注量能的变化|-|龙建股份3天振幅16%；吉林高速2天振幅15.99%荣之联3天振幅17.17%，大唐电信8天上涨26.99%（更名前）；智慧农业2个涨停（更名前）等牛股； 5月7日星星科技涨停|-|微信公众号|-|2018年05月15日|-|https://news.tianyancha.com/detail/c44791b043b0295efbad598bdb601516ac7adf73.html
大唐微电子告诉你，最安全的开锁姿势|-| 大* 唐电子指纹识别安全方案，为指纹锁保驾护航** 在指纹识别上，大唐电信旗下大唐微电子指纹锁安全解决方案，采用自主研发的指纹安全处理芯片，在实现指纹算法处理的同时|-|微信公众号|-|2018年05月15日|-|https://news.tianyancha.com/detail/def6373561545c19403aa85332cd8ef324614827.html
深陷“爱国风波”中的联想与联芯|-|…" 领盛科技：到底是不是"皇协军"？ 5月5日，已经被ST的大唐电信对外发布公告表示：2017年5月，经公司第七届第十三次董事会批淮|-|维科网|-|2018年05月14日|-|https://news.tianyancha.com/detail/b7143e38d69ad5f546ede431e84b36cfcef0a6d1.html
收评:短期缓和前期负面情绪|-|等个股均快速拉升。 09:40 5G概念持续拉升，中富通一字板，天邑股份（300504）涨停，*ST大唐（600198）涨停，中际旭创（300308）、信维通信（300136）、欣天科技|-|新浪网|-|2018年05月14日|-|https://news.tianyancha.com/detail/6e48ae97e2a73a8f9f2f7b1be6fede3bce46b7ef.html
海澜之家5亿元拿下支付牌照，贵么|-|一九付成立于2010年，2012年6月获得第三方支付牌照（互联网支付业务）。2013年7月，大唐电信旗下高鸿股份控股一九付，并注资1个亿。根据公告|-|投资界|-|2018年05月13日|-|https://news.tianyancha.com/detail/0c74be1e853de99d59076b0cff32cb2f580a4a0b.html
国资报告丨新经济版图中的央企力量|-|实现了业务流程的优化再造。 5G方面，央企也在积极行动。全国政协委员、大唐电信董事长童国华接受媒体采访时表示，2018年下半年，我国5G将进入规模试验阶段，届时|-|中国产业经济信息网|-|2018年05月11日|-|https://news.tianyancha.com/detail/a5a1c2e2ad725d83ed176b47f895498b81cd0428.html
